Title,Region,Suburb,BodyStyle,Year,Odometer,Fuel,Transmission,EngineSize,Cylinders,Seats,ExteriorColour,Model,ModelDetail,Make,Price,LogPrice
2021 Toyota Hilux Sr5 2.8 Turbo Diesel Double C...,Waikato,Hamilton,Ute,2021,100845,Diesel,Automatic,2755.0,0,5,Grey,Hilux,Sr5 2.8 Turbo Diesel Double Cab 4WD Utility,Toyota,49990,10.819578264407616
2016 Toyota Prius S TOURING SELECTION,Wellington,Wellington,Sedan,2016,106200,Hybrid,Automatic,1800.0,0,0,Red,Prius,S TOURING SELECTION,Toyota,16950,9.738023112808596
2017 Toyota RAV4 LIMITED NZ NEW,Auckland,Auckland,RV/SUV,2017,102084,Petrol,Automatic,2494.0,0,5,Grey,RAV4,LIMITED NZ NEW,Toyota,26995,10.203406942652387
"2019 Toyota RAV4 GX 2.0P, LOW KMS",Auckland,Auckland,RV/SUV,2019,86901,Petrol,Automatic,1986.0,0,5,Silver,RAV4,"GX 2.0P, LOW KMS",Toyota,27995,10.239781201782993
2017 Toyota C-HR Hybrid G - Huge Spec - Good Look.,Wellington,Lower Hutt City,RV/SUV,2017,99600,Hybrid,Automatic,1800.0,0,0,Pearl,C-HR,Hybrid G - Huge Spec - Good Look.,Toyota,24990,10.126231023828998
2021 Toyota RAV4 GXL 2.5PH/4WD Hybird,Auckland,Auckland,RV/SUV,2021,100701,Hybrid,Automatic,2487.0,0,5,Grey,RAV4,GXL 2.5PH/4WD Hybird,Toyota,36980,10.518132504941116
2021 Toyota RAV4 GXL 2.5P Hybrid,Bay of Plenty,Whakatane,RV/SUV,2021,67246,Hybrid,Automatic,2487.0,0,5,Grey,RAV4,GXL 2.5P Hybrid,Toyota,39990,10.596384701840863
2017 Toyota Hilux SR TD DC 2.8D 4WD,Bay of Plenty,Whakatane,Ute,2017,149077,Diesel,Automatic,2755.0,0,5,White,Hilux,SR TD DC 2.8D 4WD,Toyota,37990,10.54507824618167
2021 Toyota Hilux SR Extra Cab 2WD,Auckland,Auckland,Ute,2021,69476,Diesel,Automatic,2800.0,0,4,White,Hilux,SR Extra Cab 2WD,Toyota,35995,10.491135318903403
2021 Toyota RAV4 GXL Hybrid,Auckland,Auckland,RV/SUV,2021,110559,Hybrid,Automatic,2500.0,0,5,Graphite,RAV4,GXL Hybrid,Toyota,35550,10.478695435231387
2021 Toyota Hilux SR5 4WD,Auckland,Auckland,Ute,2021,69972,Diesel,Automatic,2800.0,0,5,Blue,Hilux,SR5 4WD,Toyota,47995,10.778852117797637
2022 Toyota Corolla Gx 2.0P/10Cvt,Bay of Plenty,Tauranga,Hatchback,2022,30450,Petrol,Automatic,1987.0,0,5,Grey,Corolla,Gx 2.0P/10Cvt,Toyota,27990,10.2396025825095
2020 Toyota RAV4 Gxl 2.5Ph/4Wd/HYBRID,Auckland,Auckland,RV/SUV,2020,81000,Hybrid,Automatic,2487.0,0,5,Blue,RAV4,Gxl 2.5Ph/4Wd/HYBRID,Toyota,37889,10.542416111476454
2019 Toyota Highlander 3.5P 4WD 7 Seater,Canterbury,Christchurch,RV/SUV,2019,88800,Petrol,Automatic,3456.0,0,0,Grey,Highlander,3.5P 4WD 7 Seater,Toyota,36985,10.518267704021968
"2025 Toyota Hilux SR5 Cruiser Widebody, 2.8TD H...",Auckland,Auckland,Ute,2025,2300,Hybrid,Automatic,2755.0,0,5,Black,Hilux,"SR5 Cruiser Widebody, 2.8TD Hybrid 4WD",Toyota,68999,11.141847290720753
2019 Toyota C-HR 1.8 Petrol Hybrid G Mode Nero...,Waikato,Hamilton,RV/SUV,2019,48266,Hybrid,Automatic,1797.0,0,5,White,C-HR,1.8 Petrol Hybrid G Mode Nero CVT FWD SUV,Toyota,27990,10.2396025825095
"2022 Toyota Hilux 2.8TD, 4WD, SR",Auckland,Auckland,Ute,2022,69000,Diesel,Manual,2755.0,0,5,Black,Hilux,"2.8TD, 4WD, SR",Toyota,53999,10.896720806856424
2024 Toyota Highlander Limited ZR 2.5 Petrol Hy...,Waikato,Hamilton,RV/SUV,2024,25763,Hybrid,Automatic,2487.0,0,7,Red,Highlander,Limited ZR 2.5 Petrol Hybrid CVT AWD SUV,Toyota,78990,11.277076541158465
